This is the first Osage dictionary in the modern orthography =)
Each Osage word is written in the Osage alphabet and in a Latin transliteration
Can't see the Osage on your device? Download a font: https://www.google.com/get/noto/#sans-osge
This was not possible without the help of many volunteers
Thanks to Jakub, Wojtek, Filippos, Jonás, Victor, Aaron, Tahsin, Hubert, Christopher, Santiago, Max, and Batyah
Special thanks to Craig, Mark, Michele, and Aino!
I hope that this project will help people learn Osage so that the language can be passed onto future generations
-Harris

a, an	𐓷𐓣͘, 𐓷𐓣͘𐓸𐓲𐓟	wį, wįxce
discard (verb).	𐓪͘𐓵𐓟	ǫ́ǫðe
discard someone or something	𐓪͘𐓵𐓘	ǫ́ǫða
discern something	𐓣𐓤𐓣𐓵𐓟	íikiðe
disconsolate.	𐓤𐓣𐓺𐓪ž𐓣	kízoži
discouraged: become ~.	𐓤𐓣𐓸𐓣𐓵𐓘	hkíxiða
discover in part but not fully.	𐓪𐓬𐓟𐓩𐓣	opéni
discover something	𐓣𐓤𐓣𐓵𐓟	íikiðe
discuss.	𐓣𐓟, 𐓪𐓣𐓟	íe, óie
disease: venereal ~.	𐓷𐓘𐓲𐓣𐓩𐓣𐓟	wácinie
disgrace: be in ~.	𐓣𐓧𐓘𐓩𐓘͘	ílaną
dish.	𐓲𐓟𐓡𐓟ž𐓣͘, 𐓡𐓣͘𐓲𐓟	hcéhežį, hį́įce
dish: flat and wide ~.	𐓡𐓣͘𐓲𐓟 𐓜𐓘𐓤𐓘	hį́įce braaka
dish soap, dish detergent.	𐓡𐓣́͘𐓣͘𐓲𐓟 𐓣𐓵𐓶ž𐓘 𐓷𐓟𐓬𐓶𐓤𐓸𐓘	hį́įce íðuuža wépukxa
dish towel.	𐓡𐓣́͘𐓣͘𐓲𐓟 𐓣𐓬𐓶𐓤𐓸𐓘	hį́įce ípukxa
dishes (e.g., a set of plates, cups, and bowls).	𐓲𐓟𐓡𐓟ž𐓣͘	hcéhežį
disheveled.	𐓡𐓟𐓸𐓬𐓘	héxpa
disinfect (e.g., a buffalo hide).	𐓵𐓶𐓷𐓘𐓮𐓶	ðuuwásu
dislike.	𐓣𐓮𐓣	íisi
dislike something	𐓤𐓣𐓡𐓪͘ž𐓣	kihǫ́ǫži
disliked.	𐓣𐓮𐓟𐓷𐓘𐓵𐓟	iiséwaðe
disloyal person.	𐓷𐓘𐓷𐓣́͘𐓤𐓯𐓘ž𐓣	wawį́kšaži
dismissed (as at the end of a school day): be ~.	𐓬𐓘𐓩𐓘	panáa
dismount from (e.g., a horse).	𐓪𐓷𐓣́𐓮𐓣, 𐓷𐓣𐓮𐓣	owísi, wísi
disobey.	𐓪𐓬𐓯𐓘́ž𐓣	opšáži
dispatch (verb).	𐓵𐓟 𐓤𐓘𐓹𐓟	ðée káaɣe
disperse (transitive, intransitive).	𐓪𐓤𐓘𐓜𐓘	okábra
dispirited.	𐓤𐓣𐓺𐓪ž𐓣	kízoži
display (multiple items) on top of something else.	𐓘ž𐓶	ážu
disposition: having a bad ~.	𐓪𐓤'𐓘͘ 𐓬𐓣ž𐓣	ókˀą hpíiži
disregard.	𐓪𐓵𐓘͘𐓲𐓟𐓯𐓣 𐓵𐓣͘𐓤𐓟	óðąąceši ðįké
disrespectful.	𐓷𐓘𐓤𐓘𐓲'𐓘𐓣ž𐓣	wakaacˀáiži
dissect.	𐓬𐓘𐓲𐓟	hpáce
distant: be ~ (e.g., an estranged married couple).	𐓤𐓣𐓵𐓘𐓡𐓘𐓬𐓘	kíðahapa
distant (in space).	𐓷𐓟𐓡𐓣𐓲𐓟	wéhice
distant in space or time.	𐓤𐓪𐓰𐓚𐓤𐓟	kootáįke
distinct.	𐓪𐓤𐓘͘𐓲𐓣	ohką́ci
distant: make ~.	𐓷𐓘𐓵𐓘𐓮𐓤𐓘	wáðaaska
distracted: be ~ by problems or sickness.	𐓪𐓤𐓘𐓯𐓟	ókaše
distraught: be ~ from.	𐓣𐓬𐓣ž𐓣	íhpiiži
disturbance.	𐓪𐓲𐓣ž𐓟	óochiže
disuse (verb).	𐓪𐓵𐓘͘𐓲𐓟𐓯𐓣 𐓵𐓣͘𐓤𐓟	óðąąceši ðįké
ditch.	𐓪𐓸𐓟	óxe
ditch: small ~ around tipi for drainage.	𐓩𐓘͘𐓲𐓟𐓘𐓡𐓘	ną́ceaha
divan.	𐓘𐓧𐓣́͘𐓣͘𐓮𐓲𐓟, 𐓘ž𐓘͘ ž𐓣͘𐓤𐓘	álį́įscee, ážą žįka
divest oneself of.	𐓩𐓣𐓵𐓟	níðe
divide (verb).	𐓣𐓤𐓣𐓧𐓘𐓣, 𐓤𐓣𐓵𐓘𐓡𐓘𐓬𐓘	íhkilai, kíðahapa
divide in two.	𐓵𐓪͘𐓬𐓘𐓡𐓘 𐓤𐓘𐓹𐓟	ðǫǫpáha káaɣe
divided.	ž𐓘𐓰𐓘	žáhta
divided: be ~.	𐓤𐓣𐓵𐓘𐓡𐓘𐓬𐓘	kíðahapa
divorce.	𐓤𐓣𐓪͘𐓵𐓟, 𐓪𐓤𐓣𐓪͘𐓵𐓟	hkíǫðe, ohkíǫðe
divorce, be divorced.	𐓤𐓣𐓵𐓘𐓡𐓘𐓬𐓘	kíðahapa
divorced: become ~ from.	𐓪𐓤𐓣𐓪͘𐓵𐓟	ohkíǫðe
dizzy.	𐓣͘𐓲𐓟 𐓬𐓘𐓺𐓟	įcé hpáze
do.	𐓟𐓤𐓣𐓪͘, 𐓟𐓪͘, 𐓤𐓘𐓹𐓟	ékiǫ, éǫ, káaɣe
do (engage in an activity).	𐓪͘	ǫ́
do for oneself.	𐓤𐓣𐓤𐓘𐓹𐓟	hkihkáaɣe
do good works, do good.	𐓵𐓘𐓧𐓣͘ 𐓤𐓘𐓹𐓟	ðáalį káaɣe
do harm to.	𐓵𐓶𐓬𐓣ž𐓣	ðuhpíiži
do how/however, do in whatever way, do what about (indefinite).	𐓡𐓘𐓪͘	háaǫ
do no more.	𐓤𐓘𐓤𐓪͘𐓩𐓘͘ 𐓤𐓘𐓹𐓟	kaakǫ́ną káaɣe
do nothing.	𐓪𐓤𐓘𐓹𐓠𐓤𐓟	ókaaɣeįke
do one's best.	𐓣𐓤'𐓶𐓲𐓟, 𐓷𐓘𐓯𐓤𐓘͘	íkˀuce, waašką́
do oneself ill or harm.	𐓤𐓣𐓧𐓶𐓬𐓣ž𐓣	hkilúhpiiži
do over.	𐓤𐓣𐓤𐓘𐓹𐓟	kikáaɣe
do something: make someone ~.	𐓘𐓤𐓘ž𐓣	ákaaži
do something poorly.	𐓪𐓧𐓘͘ž𐓣	oolą́ąži
do something to oneself.	𐓟𐓷𐓘𐓤𐓣𐓤'𐓪͘, 𐓟𐓷𐓘𐓤𐓣𐓪͘𐓵𐓟	éwahkikˀǫ, éwahkiǫ́ðe
do to oneself, do something to excess while paying no heed to others.	𐓟𐓤𐓣𐓪͘	éhkiǫ
do what, do what with, do what about.	𐓡𐓘𐓪͘	háaǫ
do whatever with, do whatever.	𐓡𐓘𐓪͘	háaǫ
do work.	𐓷𐓘𐓵𐓣𐓰𐓘͘	waðíhtą
docile.	𐓷𐓘𐓲'𐓟𐓤𐓘	wacˀéka
doctor (noun), be a doctor.	𐓷𐓘𐓤𐓪͘𐓰𐓘𐓤𐓣	wahkǫ́taki
doctor someone	𐓯𐓲𐓟𐓵𐓟	šcéðe
document (legal or otherwise).	𐓰𐓘𐓩𐓘͘𐓤'𐓘	htaną́kˀa
document containing text.	𐓷𐓘𐓧𐓟𐓺𐓟	waléze
document of borrewed money.	𐓨𐓘͘𐓺𐓟𐓮𐓤𐓘 𐓪𐓰𐓘 𐓷𐓘𐓧𐓟𐓺𐓟	mą́zeska ootá waléze
doe.	𐓰𐓘, 𐓰𐓘 𐓨𐓣͘𐓤𐓘	htáa, htáa mį́įka
dog.	𐓯𐓪͘𐓤𐓟	šǫke
dog: black ~.	𐓯𐓪͘𐓰𐓘͘ 𐓮𐓘	šǫhtą́ą sa
dog: female ~.	𐓯𐓪͘𐓨𐓣́͘𐓣͘𐓤𐓘	šǫmį́įka
dogwood.	𐓨𐓪͘𐓮𐓘 𐓡𐓶	mǫ́ǫsa hu
"doings": have a ~.	𐓪𐓤'𐓘͘	ókˀą
dollar.	𐓜𐓪𐓤𐓘	bróka
dolled up.	𐓣𐓯𐓟𐓷𐓘𐓣	íišewai
don (as clothing).	𐓪𐓬𐓘𐓡𐓘͘	opáahą
done (cooked).	𐓲𐓶𐓲𐓟	cúuce
donkey.	𐓩𐓘͘𐓰𐓘͘𐓰𐓘͘	nąąhtą́htąą
door.	𐓲𐓣ž𐓟	hcižé
doorbell: ring or press the ~.	𐓵𐓶𐓤𐓘𐓨𐓘͘	ðuuhkáamą
doorway.	𐓲𐓣ž𐓟𐓬𐓟	hcižépe
dotted button-snake-root, dotted gay feather (Liatris punctata).	𐓨𐓘͘𐓤𐓘 𐓮𐓘𐓤𐓣	mąhká saakí
dotted with small dots.	𐓧𐓟ž𐓟	léže
doubt (verb).	𐓷𐓘ž𐓘	wažá
doubt oneself.	𐓤𐓣𐓸𐓣𐓵𐓘	hkíxiða
down, downward.	𐓡𐓶𐓲𐓟, 𐓨𐓘͘𐓧𐓟	húuce, mą́le
down: go ~ (as a road).	𐓪𐓬𐓸𐓘͘	opxą́
down: go ~ (e.g., the sun when setting).	𐓬𐓘𐓬𐓪	papó
down: put or set ~.	𐓤𐓣𐓲𐓟𐓵𐓟	hkícheðe
down: take ~.	𐓵𐓶𐓡𐓶𐓲𐓟, 𐓵𐓶𐓸𐓬𐓘𐓷𐓣͘	ðuuhúuce, ðuxpáwį
downcast.	𐓤𐓣𐓺𐓪ž𐓣	kízoži
drag.	𐓵𐓣𐓹𐓪, 𐓵𐓣𐓰𐓘͘	ðiiɣo, ðiitą́
draw water (e.g., in a bathtub).	𐓵𐓣𐓸𐓰𐓘͘, 𐓵𐓶𐓺𐓟	ðixtą́, ðuuzé
dream (noun, verb), have a dream.	𐓡𐓪͘𐓜𐓟	hǫ́bre
dream: bad ~.	𐓪𐓬𐓘𐓺𐓘	ohpáza
dress (noun).	𐓡𐓘𐓮𐓤𐓘, 𐓷𐓟𐓤𐓣𐓧𐓣͘	haaská, wéhkilį
dress in.	𐓣𐓷𐓟𐓤𐓣𐓧𐓣͘, 𐓪𐓤𐓣𐓪𐓧𐓘͘	íwehkilį, óhkioolą́
dress in. (e.g., a shirt or a dress).	𐓪𐓤𐓣𐓪𐓧𐓘͘	óhkioolą́
dress in clothing (not one's own).	𐓷𐓟𐓤𐓣𐓧𐓣͘ 𐓪𐓬𐓘𐓡𐓘͘	wéhkilį opáahą
dress in one's own clothes.	𐓷𐓟𐓤𐓣𐓧𐓣͘ 𐓪𐓤𐓣𐓬𐓘𐓡𐓘͘	wéhkilį okíhpaahą
dress oneself.	𐓪𐓤𐓣𐓪𐓧𐓘͘	óhkioolą́
dress up in one's best attire.	𐓣𐓯𐓲𐓟𐓷𐓘𐓣	íišcewai
dressed up.	𐓣𐓯𐓲𐓟𐓷𐓘𐓣	íišcewai
dried.	𐓸𐓟𐓤𐓘	xéka
dried corn.	𐓪𐓡𐓪͘ 𐓮𐓘𐓤𐓣	óohǫ saakí
dried fruit.	𐓤𐓘͘𐓲𐓟 𐓬𐓶𐓺𐓟	hką́ące púze
dried meat.	𐓰𐓘 𐓬𐓶𐓺𐓟	htáa púze
dried squash.	𐓷𐓘𐓰𐓸𐓘͘ 𐓬𐓶𐓺𐓟	watxą́ púze
dried up.	𐓲𐓶𐓹𐓟	hcúɣe
drill: conduct a ~.	𐓘𐓤𐓣𐓰𐓘 𐓪𐓤'𐓘͘	áhkita okˀą
drink (verb).	𐓵𐓘𐓰𐓘͘	ðaahtą́
drink: soft ~.	𐓩𐓣𐓤𐓘𐓬𐓸𐓪𐓤𐓟	niikáapxohke
drink alcohol.	𐓷𐓘𐓵𐓘𐓰𐓘͘	waðáahtą
drink soup.	𐓵𐓘𐓺𐓶𐓬𐓟	ðaazúpe
drink up.	𐓵𐓘𐓩𐓣́͘𐓣͘	ðaanį́į
drive (intransitive).	𐓷𐓘𐓤𐓘ž𐓣	wakáaži
drive (a vehicle).	𐓤𐓘ž𐓣	kaaží
drive (animals)	𐓨𐓘͘𐓵𐓣́͘ 𐓤𐓘𐓹𐓟	mąðį́ káaɣe
drive around for pleasure .	𐓪𐓬𐓘𐓷𐓣͘𐓹𐓟	opáwįɣe
drive for someone	𐓤𐓣ž𐓣	kíži
driver.	𐓷𐓘𐓵𐓣𐓰𐓘͘, 𐓷𐓘𐓤𐓘ž𐓣, 𐓷𐓘𐓤𐓘ž𐓣	waðíhtą, wakáaži, wakáaži
drizzle (noun).	𐓣𐓤𐓣𐓯𐓪𐓲𐓟, 𐓩𐓣𐓯𐓪𐓲𐓟, 𐓩𐓣ž𐓶 𐓸𐓪𐓲𐓟, 𐓩𐓣ž𐓶 𐓸𐓪𐓰𐓘͘	íhkišoce, níišoce, niižú xóce, níižu xohtą
droopy.	𐓲'𐓪𐓤𐓘. 𐓸𐓬𐓟𐓤𐓘	cˀóka. xpéka
drop (e.g., an object or a comment into a conversation).	𐓵𐓣𐓤𐓯𐓣́͘𐓲𐓟	ðikšį́ce
drop feathers.	𐓬𐓶𐓤𐓘𐓯𐓤𐓟, 𐓷𐓘𐓬𐓣𐓪𐓤𐓘𐓯𐓤𐓟, 𐓷𐓘𐓬𐓶𐓯𐓤𐓟	púkaške, wapíokaške, wapúške
drop something into (e.g., eyedrops into eyes).	𐓪𐓵𐓣𐓤'𐓟	oðíkˀe
drub.	𐓪𐓲𐓣́͘	ochį́
druggist.	𐓨𐓘͘𐓤𐓘 𐓘𐓵𐓣́͘	mąhká aðį́
drum.	𐓲𐓟𐓹𐓟𐓩𐓣	céɣenii
drum: pass the ~.	𐓲𐓟𐓹𐓟𐓩𐓣 𐓵𐓟 𐓤𐓘𐓹𐓟	céɣenii ðée káaɣe
drum tie the ~ (involves wrapping the drum up and tying it).	𐓲𐓟𐓹𐓟𐓩𐓣 𐓤𐓘𐓹𐓟	céɣenii káaɣe
drum boss.	𐓲𐓟𐓹𐓟𐓩𐓣 𐓪𐓲𐓣́͘	céɣenii ochį́
drumbeat	𐓲𐓣𐓲𐓟	hcíce
drumkeeper	𐓟𐓹𐓟𐓩𐓣 𐓘𐓵𐓣͘	éeɣenii aðį́
drumkeeper and committee	𐓣𐓧𐓪͘𐓯𐓤𐓘 𐓺𐓘𐓩𐓣	ilǫ́ǫška záani
drumstick	𐓲𐓟𐓹𐓟𐓩𐓣 𐓪𐓲𐓣͘, 𐓲𐓟𐓹𐓟𐓩𐓣 𐓪𐓲𐓣͘ 𐓮𐓲𐓟, 𐓻𐓘͘𐓸𐓟 𐓲𐓟𐓹𐓟𐓩𐓣	céɣenii ochį́, céɣenii ochį́ scée, žą́ąxe céɣenii
drunk	𐓧𐓧𐓪͘𐓵𐓣͘, 𐓪𐓨𐓘͘𐓣͘𐓻𐓣͘	llǫ́ðį, omą́įžį
drunk: extremely or "crazy" ~	𐓷𐓟𐓡𐓧𐓣𐓬𐓣𐓻𐓣	wéehlihpíiži
drunk: get ~	𐓘𐓧𐓪͘𐓵𐓣͘	álǫðį
drunkenness: push or impel someone to ~	𐓬𐓘𐓧𐓪͘𐓵𐓣͘	páalǫðį
dry (intransitive)	𐓵𐓣𐓬𐓶𐓺𐓟	ðipúze
dry (transitive)	𐓬𐓶𐓺𐓟, 𐓬𐓶𐓺𐓟𐓵𐓟	púze, púzeðe
dry by wiping	𐓬𐓶𐓤𐓸𐓘	púkxa
dry from heat	𐓰𐓘𐓬𐓶𐓺𐓟	táapuze
dry grass, dried grass	𐓸𐓘𐓰𐓘𐓬𐓟	xáhtape
dry with (by wiping)	𐓣𐓬𐓶𐓤𐓸𐓘	ípukxa
duck	𐓨𐓣𐓹𐓘	míɣa
duck: big ~	𐓨𐓣𐓹𐓘 𐓰𐓘͘𐓤𐓘	míɣa htą́ka
duck: mallard ~	𐓬𐓘𐓡𐓣𐓰𐓪	hpáhiihto
due to	𐓣-	i-
dull (color or finish)	𐓸𐓪𐓲𐓟, 𐓸𐓬𐓟𐓤𐓘	xóce, xpéka
dull (not sharp)	𐓬𐓘𐓡𐓣͘𐓻𐓣	hpaahį́ži
dump out (e.g., garbage)	𐓪𐓤𐓘𐓸𐓰𐓘	okáxta
dumplings	𐓷𐓘𐓲𐓶𐓟 𐓮𐓪𐓮𐓪, 𐓷𐓘𐓲𐓶𐓟 𐓰𐓘𐓬𐓘, 𐓷𐓘𐓲𐓶𐓟𐓸𐓪͘ 𐓪𐓵𐓣𐓯𐓣	wacúe sóso, wacúe táahpa, wacúexǫ oðiši
dumplings: corn meal ~	𐓷𐓘𐓲𐓶𐓟 𐓤𐓘𐓮𐓤𐓣	wacúe kaaskí
dumplings: wheat flour or corn flour ~	𐓷𐓘𐓲𐓶𐓟 𐓵𐓶𐓜𐓘𐓮𐓤𐓘	wacúe ðubráaska
dun colored (like the color of elk hide)	𐓪𐓬𐓸𐓘͘ 𐓡𐓣͘ 𐓟𐓤𐓪͘	ópxą hį́į ekǫ́
dung	𐓣͘𐓧𐓟	įlé
during that time	𐓮́𐓪͘𐓯𐓪͘𐓷𐓟	śǫǫšǫ́we
during the night	𐓡𐓘͘	hą́ą
dust (e.g., the house)	𐓵𐓣𐓲𐓣𐓺𐓟	ðicíze
dust off	𐓬𐓶𐓹𐓘	púɣa
dust off by wiping	𐓬𐓶𐓤𐓸𐓘	púkxa
dusty (as of a table top)	𐓨𐓘͘𐓯𐓪𐓲𐓟	mąąšóce
duty	𐓪𐓷𐓪͘	ówǫ
dwell (in a place)	𐓪𐓧𐓣͘	olį́į
dwell in the forest	𐓻𐓘͘𐓘 𐓪𐓧𐓣͘	žą́a olį́į
dwelling on the cliffs	𐓬𐓘𐓮𐓶 𐓪𐓧𐓣͘	hpasú olį́į
Dwells among the Cedars (personal name)	𐓸𐓪͘𐓲𐓟 𐓨𐓘̨́𐓣͘	xǫ́ǫce mą́į
dying from hunger: be ~	𐓩𐓪͘𐓬𐓟𐓡𐓣𐓲'𐓟	nǫhpéhicˀe
each	𐓤𐓣𐓵𐓘, 𐓩𐓘͘𐓵𐓟	kiðá, nąðé
each: belong to ~, one for each one	𐓣𐓰𐓘 𐓩𐓘	ihtá na
each other (see reciprocal prefix)		
eager: be ~ that something take place	𐓣𐓡𐓣𐓲𐓟	íhice
eagle	𐓸𐓶𐓵𐓘	xúða
eagle: bald ~	𐓡𐓘͘𐓤𐓘	hą́ka
eagle: golden ~	𐓲𐓣𐓻𐓪	hcížo
eagle headdress	𐓸𐓶𐓵𐓘𐓧𐓘͘𐓤𐓟	xúðalą́ke
Eagle Woman (personal name)	𐓸𐓶𐓵𐓘́𐓲𐓟𐓷𐓣͘, 𐓸𐓶𐓵𐓘𐓷𐓣͘	xúðáchewį, xúðawį
ear, inner ear	𐓩𐓘͘𐓹𐓶𐓲𐓟	nąąɣúce
ear, outer ear	𐓩𐓘͘𐓰𐓘͘	nąąhtą́
ear pop	𐓩𐓘͘𐓹𐓶𐓲𐓟 𐓪𐓵𐓣𐓬𐓸𐓪𐓤𐓯𐓣	nąąɣúce oðipxokši
ear wax	𐓩𐓘͘𐓹𐓶𐓡𐓘𐓮́𐓟	nąąɣúhaśe
earlier	𐓡𐓘𐓯𐓣𐓰𐓘 (𐓮𐓟𐓧𐓧 𐓘𐓧𐓮𐓪 d𐓣𐓮𐓲𐓶𐓮𐓮𐓣𐓪𐓩 𐓶𐓩d𐓟r 𐓮𐓤𐓘 [MODAL])	haašíhta (sell also discussion under ska [MODAL])
earlobe	𐓩𐓘͘𐓰𐓘͘	nąąhtą́
early in the morning	𐓤𐓘𐓮𐓣͘𐓟𐓸𐓲𐓣	kaasį́exci
early morning	𐓡𐓘͘𐓟𐓤𐓪͘𐓻𐓣, 𐓤𐓘𐓮𐓣͘𐓟𐓸𐓲𐓣, 𐓤𐓘𐓮𐓣͘𐓟𐓸𐓲𐓣͘𐓻𐓣͘	hą́ąekǫ́ži, kaasį́exci, kaasį́excįžį
earn	𐓪𐓤𐓯𐓟𐓰𐓘͘	okšéhtą
earnings	𐓪𐓤𐓯𐓟𐓰𐓘͘	okšéhtą
earring(s)	𐓣͘𐓰𐓪͘	į́įhtǫ
earth	𐓨𐓘͘𐓻𐓘͘	mą́žą
earth, Earth (name for a second son)	𐓨𐓘͘𐓣͘𐓤𐓘	mą́įhka
earth: cover with ~	𐓘𐓵𐓣𐓤'𐓪	áðikˀo
earthquake	𐓨𐓘͘𐓻𐓘͘ 𐓯𐓤𐓘͘	mąžą́ šką́
easily angered	𐓷𐓘𐓵𐓣𐓧𐓘͘ 𐓘𐓯𐓤𐓘	waðílą áška
east	𐓨𐓣͘ 𐓣𐓵𐓪͘𐓬𐓟 𐓣͘𐓤𐓯𐓟	mį́į íðǫpe įkšé
east wind, "fall winds"	𐓬𐓘𐓺𐓘͘ 𐓰𐓘 𐓡𐓶	pázą htá hu
easy	𐓪𐓨𐓘͘𐓤𐓘	ómąhka
easy to do	𐓷𐓘𐓲'𐓟𐓤𐓘	wacˀéka
eat (intransitive)	𐓷𐓘𐓩𐓪͘𐓜𐓟	wanǫ́bre
eat (transitive)	𐓵𐓘𐓲𐓟	ðaaché
eat: not ~, not be eating	𐓷𐓘𐓩𐓪͘𐓜𐓘𐓻𐓣	wanǫ́braži
eat too much	𐓰𐓪𐓲𐓟𐓡𐓘	tóoceha
eat up	𐓵𐓘𐓩𐓣͘	ðaanį́į
eat with	𐓣𐓵𐓘𐓲𐓟	íðaache
eavesdrop	𐓩𐓘͘𐓧𐓪͘𐓡𐓘 𐓷𐓘𐓩𐓘͘𐓤'𐓪͘	nąlǫ́ǫha waną́kˀǫ
economical	𐓪𐓨𐓘͘𐓤𐓘	ómąhka
edge	𐓜𐓘𐓹𐓟, 𐓤𐓪͘𐓡𐓘	bráaɣe, hkǫ́ha
edging (e.g., fabric sewn round the edge of a blanket)	𐓜𐓘𐓹𐓟	bráaɣe
educated: be ~	𐓷𐓘𐓧𐓟𐓺𐓟 𐓬𐓣𐓪͘	waléze hpíǫ
education	𐓷𐓘𐓧𐓟𐓺𐓟𐓘𐓲𐓟	walézeáace
efface by rubbing or wiping	𐓬𐓶𐓤𐓸𐓘	púkxa
effort: make an ~	𐓣𐓤'𐓶𐓲𐓟, 𐓷𐓘𐓯𐓤𐓘͘	íkˀuce, waašką́
egg	𐓬𐓘𐓰𐓘	hpáata
egg someone on	𐓪𐓻𐓣𐓻𐓣𐓟	ožížie
egg yolk	𐓬𐓘𐓰𐓘𐓺𐓣	hpáatazi
egg white	𐓬𐓘𐓰𐓘𐓺𐓤𐓘	hpáatazka
eggshell	𐓬𐓘𐓰𐓘 𐓸𐓶𐓡𐓘	hpáata xúha
eight	𐓤𐓣𐓟𐓰𐓪𐓬𐓘	hkietóopa
eighteen, eighteenth	𐓧𐓟𐓜𐓘͘ 𐓘𐓧𐓣͘ 𐓤𐓣𐓟𐓰𐓪𐓬𐓘	lébrą álįį hkietóopa
eighty, eightieth	𐓧𐓟𐓜𐓘͘ 𐓤𐓣𐓟𐓰𐓪𐓬𐓘	lébrą hkietóopa
either	𐓣𐓨𐓘͘𐓵𐓟	ímąðe
elbow	𐓣𐓮𐓰𐓪	iistó
elder (noun)	𐓷𐓘𐓩𐓪͘	waanǫ́ǫ
elderly man	𐓲'𐓘𐓣𐓻𐓣͘	cˀáižį
elderly woman	𐓷𐓘𐓤'𐓪𐓻𐓣͘	wakˀóžį
elders in times past	𐓡𐓘𐓯𐓣𐓰𐓘, 𐓤𐓪𐓲𐓣𐓨 𐓩𐓪͘	haašíhta, kóocim nǫ́ǫ
eldest	𐓰𐓘͘	htą́ą
eldest son	𐓣𐓧𐓪͘𐓬𐓘	ilǫ́ǫhpa
elephant	𐓩𐓣𐓰𐓘	níita
eleven, eleventh	𐓧𐓟𐓜𐓘͘ 𐓘𐓧𐓣͘ 𐓷𐓣͘𐓸𐓲𐓟	lébrą álįį wį́xce
elf	𐓨𐓣𐓘𐓧𐓪͘𐓯𐓤𐓘	míalǫška
elk	𐓪𐓬𐓸𐓘͘	ópxą
else	𐓟𐓯𐓤𐓣	éški
else: anything ~	𐓰𐓘𐓰𐓘͘ 𐓟𐓻𐓣𐓯𐓤𐓣	táatą éžiški
elucidate	𐓷𐓘𐓵𐓘𐓮𐓤𐓘	wáðaaska
embarrassed: be or become ~	𐓣𐓺𐓣𐓤𐓟	iizíke
embarrassing: be ~	𐓣𐓺𐓣𐓤𐓟	iizíke
embrace	𐓘𐓲𐓟, 𐓪𐓵𐓣͘𐓤𐓟	áace, oðį́įke
embrace as tradition	𐓪𐓵𐓣͘𐓤𐓟	oðį́įke
emerge from (as a liquid)	𐓮𐓰𐓪𐓷𐓟	stówe
emit, be emitted	𐓻𐓟́	žé
employ	𐓷𐓘𐓯𐓣	waší
employ folks	𐓷𐓘𐓷𐓘𐓯𐓣	wawáší
employee	𐓷𐓘𐓯𐓣	waší
employment, place of employment	𐓷𐓘𐓵𐓣𐓰𐓘͘	waðíhtą
encircle a place or a person (especially in an annoying way)	𐓘𐓤𐓣𐓹𐓟	ákiɣe
encounter (verb)	𐓘𐓤𐓣𐓬𐓘, 𐓘𐓤𐓣𐓪͘𐓵𐓟, 𐓘𐓤𐓪𐓬𐓯𐓟	áhkihpa, áhkiǫðe, áhkoopše
encourage	𐓡𐓣𐓲𐓟, 𐓪𐓻𐓣𐓻𐓣𐓟	híce, ožížie
end (intransitive)	𐓬𐓘𐓩𐓘	panáa
end (noun)	𐓤𐓘𐓯𐓪͘	kaašǫ́
end (transitive)	𐓤𐓘𐓯𐓰𐓘͘, 𐓬𐓘𐓩𐓘	kaaštą́, panáa
end: living on the ~	𐓬𐓘𐓮𐓶 𐓪𐓧𐓣́͘𐓣͘	hpasú olį́į
end: make someone ~ something make something ~	𐓵𐓣𐓯𐓰𐓘͘ 𐓤𐓘𐓹𐓟	ðiištą́ káaɣe
end: put an ~ to something ~	𐓤𐓘𐓯𐓰𐓘͘	kaaštą́
end: that's the ~ (interjection)	𐓤𐓘𐓯𐓰𐓘͘	kaaštą́
end: (it's) the ~	𐓤𐓘𐓯𐓪͘𐓣͘𐓤𐓟	kaašǫ́įke
end: the ~ of earthly living (exclamation)	𐓤𐓘𐓯𐓪͘𐓟𐓵𐓟	kaašǫ́eðe
end (e.g., of one's earthly existence)	𐓤𐓘𐓯𐓪͘	kaašǫ́
end an activity involving the mouth	𐓵𐓘𐓯𐓰𐓘͘	ðaaštą́
end of an activity	𐓤𐓘𐓤𐓪͘𐓩𐓘͘	kaakǫ́ną
ended	𐓤𐓘𐓯𐓟𐓩𐓘͘	kaašéną
endorse (as a check)	𐓨𐓘͘𐓯𐓘͘ 𐓪𐓵𐓣͘𐓤𐓟, 𐓯𐓘𐓤𐓟 𐓪𐓵𐓣͘𐓤𐓟	mą́šą oðį́įke, šáake oðį́įke
enemies: looking for ~	𐓰𐓪𐓰𐓘͘	totą́
enemy	𐓪𐓤𐓣𐓲𐓟	ohkíhce
energetic	𐓮𐓣𐓮𐓣	sísi
engage in	𐓤𐓘𐓹𐓟	káaɣe
English (language)	𐓣͘𐓯𐓰𐓘𐓸𐓣͘ 𐓣𐓟	įįštáxį íe
English person	𐓣͘𐓯𐓰𐓘𐓸𐓣͘	įįštáxį
enjoy	𐓤𐓣𐓵𐓘𐓧𐓣͘, 𐓤𐓣𐓺𐓪	kiðálį, kízo
enjoy: make someone ~	𐓷𐓘𐓺𐓪𐓟𐓵𐓟, 𐓷𐓘𐓺𐓪𐓟𐓤𐓯𐓣𐓵𐓟	wazóeðe, wazóekšiðe
