a, an	wį, wįxce
disagree, disagree with.	iiną́hiži
disallow.	ížoši
disband.	okábra, panáa
discard (verb).	ǫ́ǫðe
discard someone or something	ǫ́ǫða
discern something	íikiðe
disconsolate.	kízoži
discouraged: become ~.	hkíxiða
discover in part but not fully.	opéni
discover something	íikiðe
discuss.	íe, óie
disease: venereal ~.	wácinie
disgrace: be in ~.	ílaną
dish.	hcéhežį, hį́įce
dish: flat and wide ~.	hį́įce braaka
dish soap, dish detergent.	hį́įce íðuuža wépukxa
dish towel.	hį́įce ípukxa
dishes (e.g., a set of plates, cups, and bowls).	hcéhežį
disheveled.	héxpa
disinfect (e.g., a buffalo hide).	ðuuwásu
dislike.	íisi
dislike something	kihǫ́ǫži
disliked.	iiséwaðe
disloyal person.	wawį́kšaži
dismissed (as at the end of a school day): be ~.	panáa
dismount from (e.g., a horse).	owísi, wísi
disobey.	opšáži
dispatch (verb).	ðée káaɣe
disperse (transitive, intransitive).	okábra
dispirited.	kízoži
display (multiple items) on top of something else.	ážu
disposition: having a bad ~.	ókˀą hpíiži
disregard.	óðąąceši ðįké
disrespectful.	wakaacˀáiži
dissect.	hpáce
distant: be ~ (e.g., an estranged married couple).	kíðahapa
distant (in space).	wéhice
distant in space or time.	kootáįke
distinct.	ohką́ci
distant: make ~.	wáðaaska
distracted: be ~ by problems or sickness.	ókaše
distraught: be ~ from.	íhpiiži
disturbance.	óochiže
disuse (verb).	óðąąceši ðįké
ditch.	óxe
ditch: small ~ around tipi for drainage.	ną́ceaha
divan.	álį́įscee, ážą žįka
divest oneself of.	níðe
divide (verb).	íhkilai, kíðahapa
divide in two.	ðǫǫpáha káaɣe
divided.	žáhta
divided: be ~.	kíðahapa
divorce.	hkíǫðe, ohkíǫðe
divorce, be divorced.	kíðahapa
divorced: become ~ from.	ohkíǫðe
dizzy.	įcé hpáze
do.	ékiǫ, éǫ, káaɣe
do (engage in an activity).	ǫ́
do for oneself.	hkihkáaɣe
do good works, do good.	ðáalį káaɣe
do harm to.	ðuhpíiži
do how/however, do in whatever way, do what about (indefinite).	háaǫ
do no more.	kaakǫ́ną káaɣe
do nothing.	ókaaɣeįke
do one's best.	íkˀuce, waašką́
do oneself ill or harm.	hkilúhpiiži
do over.	kikáaɣe
do something: make someone ~.	ákaaži
do something poorly.	oolą́ąži
do something to oneself.	éwahkikˀǫ, éwahkiǫ́ðe
do to oneself, do something to excess while paying no heed to others.	éhkiǫ
do what, do what with, do what about.	háaǫ
do whatever with, do whatever.	háaǫ
do work.	waðíhtą
docile.	wacˀéka
doctor (noun), be a doctor.	wahkǫ́taki
doctor someone	šcéðe
document (legal or otherwise).	htaną́kˀa
document containing text.	waléze
document of borrewed money.	mą́zeska ootá waléze
doe.	htáa, htáa mį́įka
dog.	šǫke
dog: black ~.	šǫhtą́ą sa
dog: female ~.	šǫmį́įka
dogwood.	mǫ́ǫsa hu
"doings": have a ~.	ókˀą
dollar.	bróka
dolled up.	íišewai
don (as clothing).	opáahą
done (cooked).	cúuce
donkey.	nąąhtą́htąą
door.	hcižé
doorbell: ring or press the ~.	ðuuhkáamą
doorway.	hcižépe
dotted button-snake-root, dotted gay feather (Liatris punctata).	mąhká saakí
dotted with small dots.	léže
doubt (verb).	wažá
doubt oneself.	hkíxiða
down, downward.	húuce, mą́le
down: go ~ (as a road).	opxą́
down: go ~ (e.g., the sun when setting).	papó
down: put or set ~.	hkícheðe
down: take ~.	ðuuhúuce, ðuxpáwį
downcast.	kízoži
drag.	ðiiɣo, ðiitą́
draw water (e.g., in a bathtub).	ðixtą́, ðuuzé
dream (noun, verb), have a dream.	hǫ́bre
dream: bad ~.	ohpáza
dress (noun).	haaská, wéhkilį
dress in.	íwehkilį, óhkioolą́
dress in. (e.g., a shirt or a dress).	óhkioolą́
dress in clothing (not one's own).	wéhkilį opáahą
dress in one's own clothes.	wéhkilį okíhpaahą
dress oneself.	óhkioolą́
dress up in one's best attire.	íišcewai
dressed up.	íišcewai
dried.	xéka
dried corn.	óohǫ saakí
dried fruit.	hką́ące púze
dried meat.	htáa púze
dried squash.	watxą́ púze
dried up.	hcúɣe
drill: conduct a ~.	áhkita okˀą
drink (verb).	ðaahtą́
drink: soft ~.	niikáapxohke
drink alcohol.	waðáahtą
drink soup.	ðaazúpe
drink up.	ðaanį́į
drive (intransitive).	wakáaži
drive (a vehicle).	kaaží
drive (animals)	mąðį́ káaɣe
drive around for pleasure .	opáwįɣe
drive for someone	kíži
driver.	waðíhtą, wakáaži, wakáaži
drizzle (noun).	íhkišoce, níišoce, niižú xóce, níižu xohtą
droopy.	cˀóka. xpéka
drop (e.g., an object or a comment into a conversation).	ðikšį́ce
drop feathers.	púkaške, wapíokaške, wapúške
drop something into (e.g., eyedrops into eyes).	oðíkˀe
drub.	ochį́
druggist.	mąhká aðį́
drum.	céɣenii
drum: pass the ~.	céɣenii ðée káaɣe
drum tie the ~ (involves wrapping the drum up and tying it).	céɣenii káaɣe
drum boss.	céɣenii ochį́
drumbeat	hcíce
drumkeeper	éeɣenii aðį́
drumkeeper and committee	ilǫ́ǫška záani
drumstick	céɣenii ochį́, céɣenii ochį́ scée, žą́ąxe céɣenii
drunk	llǫ́ðį, omą́įžį
drunk: extremely or "crazy" ~	wéehlihpíiži
drunk: get ~	álǫðį
drunkenness: push or impel someone to ~	páalǫðį
dry (intransitive)	ðipúze
dry (transitive)	púze, púzeðe
dry by wiping	púkxa
dry from heat	táapuze
dry grass, dried grass	xáhtape
dry with (by wiping)	ípukxa
duck	míɣa
duck: big ~	míɣa htą́ka
duck: mallard ~	hpáhiihto
due to	i-
dull (color or finish)	xóce, xpéka
dull (not sharp)	hpaahį́ži
dump out (e.g., garbage)	okáxta
dumplings	wacúe sóso, wacúe táahpa, wacúexǫ oðiši
dumplings: corn meal ~	wacúe kaaskí
dumplings: wheat flour or corn flour ~	wacúe ðubráaska
dun colored (like the color of elk hide)	ópxą hį́į ekǫ́
dung	įlé
during that time	śǫǫšǫ́we
during the night	hą́ą
dust (e.g., the house)	ðicíze
dust off	púɣa
dust off by wiping	púkxa
dusty (as of a table top)	mąąšóce
duty	ówǫ
dwell (in a place)	olį́į
dwell in the forest	žą́a olį́į
dwelling on the cliffs	hpasú olį́į
Dwells among the Cedars (personal name)	xǫ́ǫce mą́į
dying from hunger: be ~	nǫhpéhicˀe
each	kiðá, nąðé
each: belong to ~, one for each one	ihtá na
each other (see reciprocal prefix)	
eager: be ~ that something take place	íhice
eagle	xúða
eagle: bald ~	hą́ka
eagle: golden ~	hcížo
eagle headdress	xúðalą́ke
Eagle Woman (personal name)	xúðáchewį, xúðawį
ear, inner ear	nąąɣúce
ear, outer ear	nąąhtą́
ear pop	nąąɣúce oðipxokši
ear wax	nąąɣúhaśe
earlier	haašíhta (sell also discussion under ska [MODAL])
earlobe	nąąhtą́
early in the morning	kaasį́exci
early morning	hą́ąekǫ́ži, kaasį́exci, kaasį́excįžį
earn	okšéhtą
earnings	okšéhtą
earring(s)	į́įhtǫ
earth	mą́žą
earth, Earth (name for a second son)	mą́įhka
earth: cover with ~	áðikˀo
earthquake	mąžą́ šką́
easily angered	waðílą áška
east	mį́į íðǫpe įkšé
east wind, "fall winds"	pázą htá hu
easy	ómąhka
easy to do	wacˀéka
eat (intransitive)	wanǫ́bre
eat (transitive)	ðaaché
eat: not ~, not be eating	wanǫ́braži
eat too much	tóoceha
eat up	ðaanį́į
eat with	íðaache
eavesdrop	nąlǫ́ǫha waną́kˀǫ
economical	ómąhka
edge	bráaɣe, hkǫ́ha
edging (e.g., fabric sewn round the edge of a blanket)	bráaɣe
educated: be ~	waléze hpíǫ
education	walézeáace
efface by rubbing or wiping	púkxa
effort: make an ~	íkˀuce, waašką́
egg	hpáata
egg someone on	ožížie
egg yolk	hpáatazi
egg white	hpáatazka
eggshell	hpáata xúha
eight	hkietóopa
eighteen, eighteenth	lébrą álįį hkietóopa
eighty, eightieth	lébrą hkietóopa
either	ímąðe
elbow	iistó
elder (noun)	waanǫ́ǫ
elderly man	cˀáižį
elderly woman	wakˀóžį
elders in times past	haašíhta, kóocim nǫ́ǫ
eldest	htą́ą
eldest son	ilǫ́ǫhpa
elephant	níita
eleven, eleventh	lébrą álįį wį́xce
elf	míalǫška
elk	ópxą
else	éški
else: anything ~	táatą éžiški
elucidate	wáðaaska
embarrassed: be or become ~	iizíke
embarrassing: be ~	iizíke
embrace	áace, oðį́įke
embrace as tradition	oðį́įke
emerge from (as a liquid)	stówe
emit, be emitted	žé
employ	waší
employ folks	wawáší
employee	waší
employment, place of employment	waðíhtą
encircle a place or a person (especially in an annoying way)	ákiɣe
encounter (verb)	áhkihpa, áhkiǫðe, áhkoopše
encourage	híce, ožížie
end (intransitive)	panáa
end (noun)	kaašǫ́
end (transitive)	kaaštą́, panáa
end: living on the ~	hpasú olį́į
end: make someone ~ something make something ~	ðiištą́ káaɣe
end: put an ~ to something ~	kaaštą́
end: that's the ~ (interjection)	kaaštą́
end: (it's) the ~	kaašǫ́įke
end: the ~ of earthly living (exclamation)	kaašǫ́eðe
end (e.g., of one's earthly existence)	kaašǫ́
end an activity involving the mouth	ðaaštą́
end of an activity	kaakǫ́ną
ended	kaašéną
endorse (as a check)	mą́šą oðį́įke, šáake oðį́įke
enemies: looking for ~	totą́
enemy	ohkíhce
energetic	sísi
engage in	káaɣe
English (language)	įįštáxį íe
English person	įįštáxį
enjoy	kiðálį, kízo
enjoy: make someone ~	wazóeðe, wazóekšiðe
enjoyment: feel ~	kiðálį, kízo
enlarge	htą́ą
enormous	lą́ąðe wálį
enough	eená, kaakǫ́ną, kaašǫ́
enough: get or have ~ of	íibrą
enough: have more than ~	íibrąxcį
enough: it's ~	kaašǫ́ka
enough: make ~	kaašǫ́ káaɣe
enrage someone	wažį́ hpíiži káaɣe
enraged	wažį́ hpíiži
enter, enter formally (e.g., a peyote meeting)	ohpé
entire	bróka
entrails	otáhpa, šúpe
envious (e.g., of another's position)	óxįį
envy	óxįį
epistemic marker (see evidential marker)	
equal: make ~ to	íkǫskahkíðe
equal in appearance to	íkǫska
equipment: piece of ~	wéhkikˀǫ
erase by rubbing or wiping	púkxa
errand	ówǫ, wamą́ðį
errand: go on a ~	okášą
error: commit an ~ (e.g., dropping something at a dance, causing a commotion)	ílaną
espionage: conduct ~	nąlǫ́ǫha átǫpe
estranged: be ~	kíðahapa
even	ški
even (level)	stáko
even only	ną́ški
even so	óðąži
even though	ški
evening	mį́įhiðe
evening, in the evening time	hpáze
evening: last or yesterday ~	hpázece
evening meal	hpáze wanǫ́bre
event: have or hold an ~	ókˀą
every day	hą́ąpa ke záani, hą́ąpa ohkíeche, hą́ąpa záani
every one	záani
every time	háachi, ohkíetzątxą
everybody, everyone	howaðéeški, huukǫ́ða, péeški, záani
everything	howachéeški, táatą howachéeški,táatą záani
everything else	táatą éžiški
everywhere	háaški
evidential marker	che
evil (adjective)	hǫ́ǫži, hpíiži
evil, evil things	ízizike, táatą hǫ́ǫžį
exactly	xci
examine	ákazo, ákǫze
examine an issue	wákazo
excel, be excellent	álįįha
excessive	ochí, ochíchacha
exchange (noun)	ínkihkawį
exchange one item for another	íhkihkawį káaɣe
excited: be ~	hóšechie [LF]
excrement	įlé
excrete	žé
excursion, go on an excursion	oṕawįɣe
exhausted (tired)	kaaskíke
exhibition	ówatoį
exhibition hall	ówatǫįhci
exist	ecí, ecíke (scattered), níhkašika
exist: not ~	ðįké
exist as	ðį́
exist in large quantity	ochí
exoskeleton	háa šooḱa
expel gas from the body	xpi
experience pain	níe
expert: be ~ in	hpíǫ
explode (e.g	, a balloon) kaapxóhke
extinct: be ~	ðįḱe
extinguish	ðuutáaži
extinguish: become ~	táaži
extremely	wálį
eye (noun)	įįštá
eyebrows	įįštáhįį
eyeglasses	mą́ze įįštólą
eyelid	įįštáhaa
eyes: light ~	(see discusion under įįštáxį)
exult	wakˀą́
fable (Osage children's story in which animals are the main characters)	híko
fabric	háa, haaská
face (noun)	įcé~
face a certain direction	okále
faces: make ~	įcé ðuuhpíiži
faded	xóce, xpéka
fail	ðikšį́ce
fail at doing s.t	oolą́ąži
failing to show respect to people or property	wakaacˀáiži
Fairfax group of Osages	hapsú olį́į
fairy	míalǫška
fall, fall down	xíða
fall (autumn), in the fall	htąątá
fall from a height	oxpáðe
fall into	ohkíǫðe
fall short	oolą́ąži
falling snow	pá húðe
false gossip: malicious ~	íe okaaɣéįke
falsehood (noun)	íxope
family	hcíle
famished: be ~	nǫhpéhicˀe
fan (noun), fanning	kíhką
fan (verb)	kahką́
fan: electric ~	htaacéxowe
fan made of feathers	mą́šą
fan made of tail feathers	íhkuáci
fan off s.o	kahką́
fan off, as at a peyote meeting	kíhką
far, far way, from afar	wéhice
far: how ~	háatxą
far back in time: from ~	kóoci
farewell (to a dead person)	kaašǫ́eðe
farm (noun)	mą́žą
farm (verb)	waðíhtą
fart (noun)	xpi
fart (verb)	ðiipíɣą, xpi
fart: make a loud ~, fart loudly	ðibrį́ɣa
fart (with a small noise, by letting the air out slowly)	ðižíce
farther, farther away, to/from farther, farther back in time or space, farther forward	kootáha
farther one: the ~, in space or time	kóota
farther over there	kootá
fast (adjective, adverb)	óhesaži
fast: go ~	xį́na
fast: walk or move ~	htą́ąðį
fast (not eat)	wanǫ́braži
fast in movement	kˀą́saaki
fasten	aðímą, oðíiną
faster: make s.t	go ~ xįna káaɣe
fat	hį́še, lą́ąðe, šį́, šį́htąką
fat: be ~	wašį́~
fat: pork ~	hkohkósa wéli, wéli
fat meat	wašį́
father	
my father	įhtáci
your father	ðiðáce
his/her father	iðáce
father-in-law	
my father-in-law	wihcíko
your father-in-law	ðihcíko
his/her father-in-law	ihcíko
wife's father/ my wife's father	cˀáke
featherless	iðace įké-
fatigued	óžeðe
favor: ask a ~	waší
fawn (deer)	htáa
fear (verb)	nǫ́ǫhpe
fear: instill ~ in	ðusáaki
fearfull: feel ~	onį́žį
Fearful One (personal name)	nǫ́ǫhpewaðe (specifically, variant from nǫ́ǫhpewali)
fearful thing	nǫ́ǫhpewaðe
fearless	nǫ́ǫhpaži, wašóše
feast (noun)	kíkxo
feast: put on or prepare a ~	kíkxo, óohkihą
feather: turkey ~	súhkahtąą mǫ́šǫ
feathers: drop or brow ~	púkaške, wapúške
February	hǫ́ǫpa scée, mį́įohką́ce, mį́iǫˀaįke, mį́iopa weðǫ́opa
feathers, fan made of-	mą́šą
feathers of certain kinds of birds (such as eagle, hawk, and macaw)	mą́šą
feces	įlé
feed (verb)	́kˀu, wakˀú
feel ashamed	iišcéwai
feel cranky	hkížį
feel fearful	onį́žį
feel good	kiðálį
feel good about	íhtąą
feel good or well	ðáalį
feel oneself to be a certain way	áhkiži
feel someone or something	ðiihtą́
feel sorry for	áacexcį, ðakˀéðe
feel sorry for one's own or someone close	ðakˀékiðe
feel sorry for oneself	ðakðéhkiðe
feeling: get a - about something (without full knowledge of it)	opéni
feign	kǫzé [JOÐ, LFÐ]
female	mį́i, mį́ika
female (used in personal names for females)	wį
female dog	šǫmį́ika
females: without - (said of a family with all daughters and no sons)	mį́ikáðįke
fence	ápahta
fence: wire or metal -	mą́ze ápahta
fetch	akú
fetid odor: have a -	ɣoį́
fever: sick from or running a little -, feverish	áachi
few, a few	čóopa
few: a (e.g., people)	huužį
fib (noun)	íxope
fiddle with something	ðiihíce
field	owe
field: wheat	wapóške ówe
fierce, fiercely	óhesaži
fifteen, fifteenth	lébrą álįį sáhtą
fifth	wesáhtą
fifty, fiftieth	lébrą sáhtą
fight (noun)	taaké
fight (verb), fight against or with	taaké
fight (verbal)	taaké ie
fighting	taaké
fill: have one's - of	íibrą
filled: be - (sated)	wéenące
filled: be -	okúhpu
film (noun)	ówatoį
final	oðóhake
final: be -	ecí che
final event in life: the - (exclamation)	kaašǫ́eðe
final part of something	kaakǫ́ną
final point	kaašð̨
find (verb)	íiðe, íikiðe
find bothersome	áalake
find for oneself; find one's own	iihkíðe
find out (transitive) (e.g., about someone's activities)	ðuupxáðe
find out about (without getting full knowledge of)	opéni
find out things	wáopxa
fine (noun)	ílanąwakísupe
fine (e.g., fine rain)	xohtą
fine (of high quality)	ðáalį
finely	ðáalį
finger	pázo, šáake
finger: index -	opázo, wéapazo
finish, be finished	ðiištą́
finish eating	ðaaštą́
finished, the thing is finished	kaašéną
fire (e.g., a cooking fire, meeting fire, or cooking-stove fire)	hpéece
fire: build a -	océðe
fire: build a - on	áceðe
fire: set - on	osái
fire a gun	hkúce
fire-drill stick	hį́iceceˀohu
fire-making wood (a piece of wood used in making fire)	žą́ąhpeece
fireman (a position in Native American Church meetings)	hpéece íhta
fireplace: build a	océðe
fireplace (in a home or ceremonial)	océhci
fireplace or fire (of any kind, to cook or to warm oneself)	océðe
Fire-walker (personal name and family name)	hpéece mąðį́
firewater (whiskey or any strong alcoholic drink)	hpéecenii
firewood	hpéece žą́a
firm	saakí
first	hpahą́le
first: place something or someone ~	hpahą́le mąˀį́
first son in hcížo clan	wahcéehtą
First Striker (personal name)	hpahą́le ákaaleke
fish	hó
fishhook	íhkǫe
fishing	hóolą
fishing cork	wíoðaaspe
fishing line	hóize
fishing pole	hóize žą́axe
fist	nǫǫpé, nǫǫpé aski
fist: make a ~	ðiiskíke, šáakeðíiskike
fit (verb)	íhta
fitting in the available space: not -	wíohkaðį
five	sáhtą
five cents	waðáawa sáhtą
five-spot (in a deck of cards)	sáhtą aži [LFÐ]
fix (e.g., repair a torn place in a dress)	kikáaɣe
fix (prepare)	káaɣe
fix (prepare or repair) for someone	kšíɣe
fix (remedy)	ðuðáalį
fix one's own, fix up something of one's own	lúðaalį
flag	haawálele
flag, U.S. flag	waléle
flashlight	ðuuhpéece
flask for gun powder	níixoce weoožu
flat	bráaska, brákˀa, brúuska
flat, flattened (said of a soft object)	tóže
flatten	ðibrúuska
flatten by cutting	pábrakˀa
flatten by shooting	póbraska
flatten by striking	kaaštá
flatten with the feet	nąąstá
flatulence	xpi
flea	wísisi
flee	hkóopše
fleet (as a runner)	kˀą́saaki
flint	kaalį́įže
flirt with	ðílą
flirt with a woman	wakˀóðílą
flooded (e.g., a creek)	okúhpu
flooding water	níita
floor	ánąąhkoe
flour	wacúexo, wacúe
flow (verb)	stówe
flower	laaská
flower on a tree	žą́ąlaa
fluid	níi
flute	opíɣą
fly (noun)	hą́hceka
fly (as birds do or in an airplane)	kį́į
fly out in pieces: cause to - or splinter	paasíke
foam up	ápuɣe
fog	íhkišoce
fog rising off standing water	opˀą́ða
follow	íe opšé, opšé
following (adverb)	áhkiha
following (pronoun, adjective), the following one	okxą́
following: go	oðáhaaðee
Follows-the-Sun (an Eagle clan name)	mį́íšechie
food	ónǫbre
food: sweet ~	waskúe
food bag	wánǫbréoožú
food taken from home from a feast	óðaašce
fool someone	ðiihíce, mąɣíðe
fool someone	wáðihota
foolish acts	cˀéka ókˀą
foot	síi
foot: by ~	nąą-
footprint	šáake
for	(see dated prefix)
for a day or so	hǫ́ǫpa wį́xci ðǫ́ǫ́ hta ški
forbid	ížoši
force (noun)	waašką́
force over or through something	ákaaži
force someone to do something	kaaží
forceful, forcefully	óhesaži
forebearers, forefathers	mǫ́pše, nǫ́ǫwaapi
foregoing: the ~	ée
forehead	hpée
forehead: smooth ~	hpéeštá
foreknowledge: have ~ of an event	ónąkˀǫ
foreman	oðówaðe, waðíhtą wakáaži
forenoon, in the forenoon	mįįðóhta žišǫ́
forest	są́ą, žą́ą
forest: dwell in the ~	žą́ą olį́į
forever	šǫǫšǫ́we
forget	áalǫðį, kisúðaži
fork	wahúhka
forked	žáhta
forked: make -	pážahta
forked lightning	ðiléleze
forty, fortieth	lébrą tóopa
forward: go -	aðée
forward (rude)	wakaacˀáiži
four	tóopa
Four Cliffs (personal name)	hpásitoopa
fourteen, fourteenth	lébrą álįį tóopa
fourth	wétoopa
Fox (personal name)	šǫ́mįhkase
fracture (e.g., one's head)	kaaléke
fragment	ošpéžį
fragrance: give off a -	brą́
frail: be ~	waašką́ðįké
frankfurter, Indian frankfurter	tǫ́ǫpše
free: be: ~ at last from illness	ónihkie
free from worry or illness	ókašeįke
free will: of his/her own -	wašį́ ihta
freeze	táa
freeze: make something ~	ótaa
freeze in or to another substance	ótaa
freeze one's own	táahkiðe
freeze to, freeze sticking to something	átaa
French (adjective)	íšpaðǫ
French language	íšpaðǫ
French person	įįštáxį, íšpaðǫ
frequently	íkiha
fresh	hcéka
Friday	hą́ąpa htaaðáachaži
fried	taazíhi
friend	hcošpá, hkóða, ihkówa
friend: make a ~ of	iiðótahkiðe
friend: person who is made into a ~	iiðótahkiðe
friend: regard as a ~	ðótaðe
friends: make ~ with each other, regard each other as ~	ðótahkiðe
Friend's Church (Quaker) in Hominy	wíkihcižį
frog	hcéokˀa
from	ci txą, ha, hta, í-, íhta, txą́ha
from now on	ðetxą́ce, ðetxą́ha, ihtǫ́į ðéha
from the beginning	hpahą́ke
from this time on	ðetxą́ha
frost	xémąke
frowzy	héxpa
frozen: be ~	táa
fruit	hką́ące, waskúe
fruit juice	hką́ącenii
frustrated: be or become ~ 	níǫhta
fry	taazíhiðe
frybread	wacúe wéli
frybread: deep-fried ~	wacúe žéela
frybread that is slit through	wacúe kaascú
fulfillment as a person	ónihkaši
full: be ~	okúhpu
full: be ~ (sated)	wéenące
full: make oneself ~	wéenącehkiðe
full amount	okúhpu
full moon	mį́įǫpa táahpa
full sie	htą́ą
fully	xci
fun: be ~	waaó
fun: have ~	kízo
fun: make ~ of someone	wahóta
funny	wahóhota, wahóta
funny: be ~	íixaéewaðe
funny-looking	éžixci
funny person	wahóhota
funny stuff	cˀéka ókˀą
fur	hį́į
furnish	okˀú
furnish to folks	ókˀu
furnishings, furniture	ohcíle
further over	kootáha
future (noun)	hą́ąpa ihtóį ðeha, kóota ðée
future: in the ~	hą́ąpa ihtóį ðeha, ihtóį ðeha, ihtǫ́į ðihé, kóota ðée
future tense marker (see potential marker)	
fuzz (as on a peach)	hį́į
fuzzy	héxpa, hį́įšce
fuzzy balls (e.g. on yarn garters ), fuzz (as on a sweater)	hį́įšcežį́
gadabout	wáaspaži
gadget	wéhkikˀǫ
gain (N and V)	okšehtą
gale	htaacé óhesaži, htaacé saakí
gallant	wašóše
gamble	kˀǫ́
game bird	míɣa
gap	ohtą́ną
garage	oðíhtąhci, wakáaži
garage door	oðíhrąhci hcíže
garden	ówe
garden produce	ówe, wasúutą
garlic	mą́ąžąxe
garment	mį́
garter	híǫnįį
gas: pass ~ or air	ðiipíɣą
gasoline	wéli
gather (transitive)	ðiiskíke
gather (e.g. fruit)	ðuuzé, paahí
gather and tie in a bundle	paaxcé
gather for council	kiistó
gather together, gather with	waðíiski
gather up	ðiiskíke
gather up for oneself, gather together for oneself	hkilíiski
gather up with a sudden movement	kaaskí
gather with each other, gather together	hkilíiski
gathering of people (e.g., at a dance), people gathering with each other	hkilíiski, waðíiski
gaunt	lažį́į
gay person	miixóke
gayfeather (Liatris punctata)	mąhká saakí
gelatin	waskúe ðibrúbruɣe, waskúe šką́šką́
generation: older ~	mǫ́pše
generation after generation, generational (referring to a long line of chiefs)	ótxątxą
generous	waðákɣeðe, wahríše
Generous (non-Osage surname)	wahríše
gentle	štáke, wacˀéka, waštáke
Gentle Man (personal name)	níhka watą́įke
get	akú, ðuuzé
get (i.e., 'become'; e.g., get old	ahí
get a feeling about something (without full knowledge of it)	opéni
get back here	alí
get back (in regard to illness)	kiní, kitą́he, kítąhe
get drunk	álǫðį
get here	achí
get it anyway	óðąži
get lost	oxpáðe
get moving, get going	mąðį́
get moving! (command)	mąðį́ ðíe
get off (e.g., a horse)	ósi, wísi
get one's own	lúuze
get oneself into something by oneself	éwahkiǫ́ðe
get oneself ready	hkílištą
get oneself tangled in	ohkíǫðe
get out of (e.g., a car)	ósi, wísi
get ready	háhahkie
get rid of	ǫ́ǫðe
get stuck to	káataace
get the idea: not quite ~	hahkíe
get there (as in a room or a place)	oną́ąžį
get undressed	hkílíiša, hkilúušawa, hkilúuštake
get up (from a bed or a chair)	hpaahą́
get up (preparatory or departing)	nąąžį́
get well	kiniˀ, kitąhe, ónihkie
get word of	opéni
get-together	ohkíe
ghost	ilǫ́ɣe, waną́ąɣe
giddy	cˀélǫðį
gift card	íe ðáalį žį
girl, girlfriend	šį́mįžį
give	kˀú, okˀú
give a name for something or someone	ðaacé
give away	níðe, wakˀú
give away (e.g., the drum at ilǫ́ǫška dances)	kaaðée
give away to each other	ohkíkˀu
give back	kíkˀu
give birth	iitáðe, wéetaðe
give birth to	iitáðe
give each other	hkikˀú
give out in portions (e.g., food)	íhkilai
give stuff to someone	ókˀu
give testimony	wawépahǫ
give things away	waníðe
give to one's own, give away to one's own people	kíkˀu
give up	hkíxiða
giveaway	nąnįǫ́kužu [archaic], ókˀu, waníðe
giveaway: have or hold a ~	ohkíkˀu, waníðe
glad	kízo, óweena
glad: be ~	kíðálį, wéeną
glad: be ~ of	wéeną
glass (noun)	íkǫpa
glass: pane of ~, window glass	okáhąpa
glasses (eyeglasses or any device worn over the eyes)	mą́ze įįštóolą
glutton	tóoceha
go	mąðį́
go: let ~	ðée káaɣe
go: make or cause to ~	ðéeðe
go ahead	mąðį́
go ahead with something	ékiǫ
go around	ákiɣe, ápše, kǫ́kǫe
go around something	íðišąha
go away	mąðį́, okábra
go back and forth	ihkílašą
go behind someone's back	nąlǫ́ǫha
go by (i.e., stop in)	ahí
go by (go past)	ípše
go by foot, by walking	mąðį́
go by using	iiðée
go down (as a road)	opxą́
go down (e.g., the sun when setting)	papó
go fast	xį́na
go faster: make something ~	xį́na káaɣe
go following	oðáhaaðee
go for a ride	opáwįɣe
go for a walk	mąðį́ aðée
go forward	aðée
go home, go back	mąlį́
go home, go back there (motion underway)	alée
go hunting (for)	htáabre aðée, océ
go in, go into	ohpé
go looking	tǫ́pe aðée
go on	mąðį́
go on! (command)	mąðį́ ðíe
go on (continue)	šką́
go on a mission or journey	wamą́ðį
go on an excursion	opáwįɣe
go on horseback	hkáwaalįį aðée
go out (become extinguished)	táaži
go out (in a card game)	íiðį
go or be up above	ámąši
go past	ípše
go shopping	waðúwį aðée
go table-hopping	ákiɣe
go there (motion accomplished)	ahí
go there: make something ~	ðée káaɣe
go there (motion underway)	aðée
go through (as a road)	opxą́
go to bed	žą́ą
go to war	taaké, taaké omą́ðį
go toward you, go to the place where you are or near you	šoðée
go walking	mąðį́ aðée
go where you are: make ~	šoðée káaɣe
go with	oðáhaaðee
goal	ohkíce
goat	į́hįhkicéže
God	hpahą́le mąðį́ ąðiðaace, wahkǫ́ta
going: get ~	mąðį́
gold (in color), golden, goldlike	mą́zeska zí ékǫ
gold (metal)	mą́zeska zí
golden eagle	hcížo
golf	htaapéskažįkˀǫ́
golf: play ~	htaapéskažįkˀǫ́
golly	éeše [slang]
golly! (female exclamation of surprise)	wį́kše
gone (finished)	kaašéną
gone: be ~ (absent, nonexistent)	ðįké
good	ðáalį
good: be ~ to	ðakˀéðe
good: be ~ to each other	ðakˀéhkiðe
good: feel ~	kiðálį
good: make oneself ~ (e.g., in respect to one's behavior)	ðáalįhkiðe
good behavior	óðohtą, óðohtąhkiðe
good grades in school: have or make ~	alįįha
good health: be in ~	ní
good health: in ~	ókašéįke
good manners, thoughts or ways: having ~	ókˀą ðaalį
good time: have a ~	kízo
good time: show someone a ~	wazóekšiðe
good to one's own or to someone close: be ~	ðakˀékiðe
Good Voice (personal name)	hooðáalį
good works or good: do ~	ðáalį káaɣe
good-bye	kaašǫ́įke
good-bye (to a dead person)	kaašǫ́eðe
good-looking	ðáalį, ohtáza
goodness!	ą́žǫ ðįké
goof, goof up	ílaną
goose	míɣa, míɣa htą́ka
gorget	wanǫ́pˀį
gosh! (female exclamation of surprise)	wį́kše
gossip	tíðe
