Note: This is the same as the other Osage dictionary on file, but with indications of tone, vowel-length and aspiration/preaspiration.

a, an	𐓷𐓣͘, 𐓷𐓣͘𐓸𐓲𐓟	wį, wįxce
choker (necklace)	𐓷𐓘𐓩𐓪́͘𐓬'𐓣͘	wanǫ́pˀį
choose	𐓵𐓶̄𐓺𐓟́, 𐓥𐓣́𐓭𐓘̄𐓡𐓣	ðuuzé, hkíhpaahi
choose people (or things?)	𐓷𐓘𐓬𐓘̋𐓡𐓣	wapáahi
chop (verb)	𐓵𐓣𐓧𐓪́͘𐓻𐓟	ðilǫ́že
chop by striking with	𐓣́𐓤𐓘̄𐓮𐓟	íkaase
chop down, chop up (e.h., with and axe or a knife)	𐓤𐓘̄𐓮𐓟́	kaasé
chop with a blade (e.g., wood for a fire)	𐓤𐓘̄𐓮𐓟́	kaasé
chore	𐓪́𐓷𐓪͘	ówǫ
chorus (female)	𐓪𐓵𐓘̋𐓺𐓪	oðáazo
Christmas	𐓷𐓘𐓥𐓪́͘𐓰𐓘 𐓣𐓻𐓣́͘𐓤𐓟 𐓣̋𐓤𐓣𐓰𐓘𐓵𐓟, 𐓸𐓪̄͘𐓲𐓟́𐓡𐓶 𐓤𐓘̋𐓹𐓟 𐓡𐓪́͘𐓪͘𐓬𐓘	wahkǫ́ta ižį́ke íikitaðe, xǫǫcéhu káaɣe hǫ́ǫpa
chubby	𐓧𐓘̋͘𐓵𐓟𐓱𐓘͘	lą́ąðehtą
church	𐓷𐓘̄𐓰𐓘́𐓣𐓳𐓣, 𐓷𐓘𐓥𐓪́͘𐓰𐓘𐓳𐓣, 𐓷𐓣́𐓤𐓣𐓟𐓳𐓣	waatáihci, wahkǫ́tahci, wíkiehci
church: little ~	𐓷𐓣́𐓤𐓣𐓳𐓣𐓻𐓣͘	wíkihcižį
church bell	𐓣̋𐓤𐓘̄𐓱𐓘𐓨𐓘͘	íikaahtamą
church house: Native American ~	𐓳𐓣𐓬𐓪́𐓹𐓘	hcipóɣa
cigarette	𐓩𐓘͘𐓩𐓣́͘𐓪͘𐓬𐓘𐓻𐓣͘	nąnį́ǫpažį
cigarette: roll a ~	𐓩𐓘͘𐓩𐓣́͘𐓪͘𐓬𐓘 𐓤𐓘̋𐓹𐓟	nąnį́ǫpa káaɣe
circle around	𐓘́𐓤𐓣𐓹𐓟	ákiɣe
circular	𐓰𐓘̋𐓭𐓘	táahpa
circulate	𐓘́𐓬š𐓟	ápše
circus	𐓪́𐓷𐓘𐓰𐓫	ówatoį
clan	𐓱𐓘́͘𐓷𐓘͘𐓧𐓘, 𐓣𐓩𐓣𐓥𐓘š𐓣𐓟	htą́wąla, inihkašie
clan subdivision (of Deer clan)	𐓩𐓪́͘𐓬𐓸𐓘𐓰𐓘	nǫ́pxata
clap (e.g., the hands)	𐓩𐓘͘𐓮𐓘́͘𐓮𐓘͘𐓷𐓘	nąsą́sąwa
clarify	𐓷𐓘́𐓵𐓘̄𐓮𐓤𐓘	wáðaaska
class	𐓣́𐓤'𐓶𐓲𐓟, 𐓷𐓘𐓧𐓟́𐓺𐓟𐓘̋𐓲𐓟	íkˀuce, walézeáace
class: what ~ of	𐓰𐓘̋𐓰𐓘͘	táatą
classify	𐓭𐓘𐓡𐓣́𐓤𐓟	hpahíke
clatter (verb)	𐓱𐓘́𐓱𐓘𐓺𐓟	htáhtaze
claw	š𐓘̋𐓤𐓟	šáake
clay	𐓨𐓘́͘𐓣͘𐓥𐓘	mą́įhka
clean (verb)	𐓵𐓶̄𐓷𐓘́𐓮𐓶	ðuuwásu
clean, cleanly	𐓷𐓘𐓮𐓶́𐓡𐓶	wasúhu
clean (e.g., the house)	𐓵𐓣𐓲𐓣́𐓺𐓟	ðicíze
clean off	𐓬𐓶́𐓹𐓘	púɣa
clean off by wiping	𐓬𐓶́𐓤𐓸𐓘	púkxa
clean oneself	𐓥𐓣𐓧𐓶̋𐓷𐓘𐓮𐓶	hkilúuwasu
clean talk	𐓣́𐓟 𐓷𐓘𐓮𐓶́𐓡𐓶	íe wasúhu
clean up	𐓵𐓶̄𐓷𐓘́𐓮𐓶	ðuuwásu
cleanse	𐓵𐓶̄𐓷𐓘́𐓮𐓶	ðuuwásu
cleanse or be clean by heat or cold	𐓰𐓘̄𐓮𐓶́𐓡𐓶	taasúhu
clear (adjective)	𐓮𐓤𐓘́, 𐓮𐓤𐓘́𐓡𐓘, 𐓮𐓰𐓘́, 𐓷𐓘𐓮𐓶́𐓡𐓶	ská, skáha, stá, wasúhu
clear: make ~	𐓷𐓘́𐓵𐓘̄𐓮𐓤𐓘	wáðaaska
clear (as the weather)	𐓵𐓘̋𐓧𐓣͘	ðáalį
clear language	𐓣́𐓟𐓮𐓤𐓘	íeska
clear sky (as after a storm)	𐓥𐓟́𐓵𐓪	hkéðo
clear speaking	𐓣́𐓟 𐓷𐓘𐓮𐓶́𐓡𐓶	íe wasúhu
clear words	𐓣́𐓟 𐓷𐓘𐓮𐓤𐓘́, 𐓣́𐓟𐓮𐓤𐓘	íe waská, íeska
clearance (space)	𐓪𐓱𐓘́͘𐓩𐓘͘	ohtą́ną
cleared off area	𐓪š𐓰𐓘́	oštá
clearly	𐓮𐓤𐓘́𐓡𐓘, 𐓮𐓤𐓘́, 𐓷𐓘́𐓵𐓪𐓱𐓘͘, 𐓷𐓘𐓮𐓶́𐓡𐓶	skáha, ská, wáðohtą, wasúhu
clearly: speak ~	𐓣́𐓟 𐓵𐓘̋𐓷𐓘𐓮𐓤𐓘, 𐓣́𐓟𐓮𐓤𐓘 𐓷𐓘́𐓵𐓘̄𐓮𐓤𐓘	íe ðáawaska, íeska wáðaaska
clear-minded	𐓩𐓘̋͘𐓹𐓟𐓮𐓤𐓘	ną́ąɣeska
clicking noise against metal (as made by a typewriter)	𐓨𐓘́͘𐓺𐓟 𐓱𐓘́𐓱𐓘𐓺𐓟	mą́ze htáhtaze
clicking sound	𐓱𐓘̋𐓱𐓘𐓺𐓟	htáahtaze
cliffs: dwelling on the ~	𐓭𐓘𐓮𐓶́ 𐓪𐓧𐓣̋͘	hpasú olį́į
climb, climb onto (by using the arms)	𐓘̋𐓲𐓟	áace
climbing (by wrapping around?)	𐓘́𐓰𐓸𐓘͘	átxą
clock	𐓨𐓣̋͘𐓪𐓵𐓘̄𐓤𐓟	mį́įoðaake
close (verb)	𐓤𐓘̄𐓮𐓣́͘𐓲𐓟	kaasį́ce
close (e.g., one's eyes)	𐓘́𐓬𐓣𐓮𐓘͘	ápisą
close (near), closeby	𐓘́š𐓤𐓘	áška
close by grasping	𐓘́𐓵𐓣̄𐓱𐓘͘	áðiihtą
close by pulling	𐓘́𐓵𐓣̄𐓰𐓘͘	áðiitą
close by zipping, tying, fastening, or buttoning	𐓪𐓵𐓣̋𐓩𐓘͘	oðíiną
close on	𐓘́𐓤𐓘̄𐓮𐓣͘𐓲𐓟	ákaasįce
close one's eyes	𐓵𐓶𐓬'𐓣́͘𐓲𐓟	ðupˀį́ce
close suddenly or by striking	𐓤𐓘̄𐓮𐓣́͘𐓲𐓟	kaasį́ce
closing of a prayer	𐓤𐓘̄š𐓟́𐓩𐓘͘	kaašéną
cloth	𐓡𐓘̋, 𐓡𐓘̄𐓮𐓤𐓘́	háa, haaská
clothe oneself with	𐓣́𐓷𐓟𐓥𐓣𐓧𐓣͘	íwehkilį
clothes	𐓡𐓘̄𐓮𐓤𐓘́, 𐓪𐓥𐓶́𐓧𐓘͘, 𐓷𐓟́𐓥𐓣𐓧𐓣͘	haaská, ohkúlą, wéhkilį
clothes: Osage ~	𐓷𐓘𐓻𐓘́𐓻𐓟 𐓷𐓟́𐓥𐓣𐓧𐓣͘	wažáže wéhkilį
clothes: put on ~(one's own)	𐓷𐓟́𐓥𐓣𐓧𐓣͘ 𐓪𐓤𐓣́𐓭𐓘̄𐓡𐓘͘	wéhkilį okíhpaahą
clothes: put ~ on oneself	𐓪́𐓥𐓣𐓪̄𐓧𐓘́͘	óhkioolą́
clothes: take ~ off (another person or oneself)	𐓵𐓶̄š𐓘́𐓷𐓘	ðuušáwa
clothes: wash ~	𐓷𐓘𐓮𐓣̋š𐓤𐓣	wasíiški
clothes: wash ~ for oneself	𐓥𐓣𐓧𐓣̋š𐓤𐓣	hkilíiški
clothing	𐓡𐓘̄𐓮𐓤𐓘́	haaská
clothing: any item of ~	𐓷𐓟́𐓥𐓣𐓧𐓣͘	wéhkilį
clothing: relieve s.o	𐓪f ~ 𐓵𐓶̄š𐓰𐓘́𐓤𐓟	of ~ ðuuštáke
cloud, cloudy	𐓨𐓘́͘𐓸𐓬𐓶	mą́xpu
clown	𐓷𐓘𐓵𐓣́𐓡𐓪𐓡𐓪𐓰𐓘, 𐓷𐓘𐓡𐓪́𐓡𐓪𐓰𐓘	waðíhohota, wahóhota
clubs (suit in a deck of cards)	𐓲'𐓘̋𐓻𐓣	cˀáaži
coat	𐓘́𐓤𐓘𐓡𐓘𐓨𐓣͘, 𐓨𐓪͘𐓤𐓘́𐓬𐓪, 𐓷𐓟́𐓥𐓣𐓧𐓣͘	ákahamį, mǫkápo, wéhkilį
coax someone to say or do s.t	𐓪𐓻𐓣́𐓻𐓣𐓟	ožížie
cobbler	𐓡𐓪́͘𐓪͘𐓬𐓟𐓤𐓘̄𐓹𐓟	hǫ́ǫpekaaɣe
cock: turkey ~	𐓘̋𐓡𐓶 𐓨𐓘́͘𐓵𐓣͘	áahu mą́ðį
cockleburs	𐓷𐓘𐓸𐓘́𐓤𐓘	waxáka
coffee	𐓨𐓘͘𐓥𐓘́𐓮𐓘	mąhkása
coffer	𐓻𐓘̋͘𐓥𐓪𐓤𐓟	žą́ąhkoke
coffin	𐓪́𐓸𐓟 𐓮𐓘́𐓬𐓟	óxe sápe
coin	𐓨𐓘́͘𐓺𐓟𐓮𐓤𐓘	mą́zeska
coins	𐓨́𐓘́͘𐓺𐓟𐓮𐓤𐓘 𐓺𐓣́, 𐓪š𐓬𐓟́𐓻𐓣͘, 𐓷𐓘𐓵𐓘̋𐓷𐓘𐓻𐓣	ḿą́zeska zí, ošpéžį, waðáawaži
cold	𐓩𐓣́𐓩𐓣	níni
cold: be or fell ~	𐓩𐓣́𐓳𐓟	níhce
cold: have a ~	𐓡𐓪́𐓸𐓬𐓟 𐓪́͘𐓪͘	hóxpe ǫ́ǫ
cold (used of weather)	𐓩𐓣́𐓷𐓘𐓳𐓟	níwahce
cold with sniffles and fever (noun)	𐓡𐓪́𐓸𐓬𐓟	hóxpe
collect together (many small scattered things)	𐓬𐓘̄𐓡𐓣́	paahí
colon	š𐓶́𐓬𐓟	šúpe
color bright colors	𐓡𐓣̋͘	hį́į
Comanche (tribe or tribal member)	𐓭𐓘́ 𐓰𐓪̋𐓥𐓘, 𐓷𐓘́𐓰𐓪̄𐓥𐓘	hpá tóohka, wátoohka
comb (noun)	𐓭𐓘𐓡𐓶́𐓺𐓟, 𐓷𐓟́𐓤𐓘̄𐓬š𐓟	hpahúze, wékaapše
comb one's hair	𐓤𐓘̋𐓬š𐓟	káapše
comb s.o	'𐓮 𐓡𐓘𐓣r 𐓤𐓣́𐓬š𐓟	's hair kípše
come back	𐓘𐓧𐓣́	alí
come back here (motion underway)	𐓘𐓤𐓶́	akú
come back with s.t	𐓰𐓡𐓘𐓰 b𐓟𐓧𐓪𐓩g𐓮 𐓰𐓪 𐓪𐓩𐓟𐓮𐓟𐓧f 𐓘𐓧𐓘́𐓵𐓣͘𐓤𐓶	that belongs to oneself aláðįku
come by (i.e	, 𐓬𐓘𐓮𐓮) 𐓣́𐓬š𐓟	, pass) ípše
come by (i.e	, 𐓮𐓰𐓪𐓬 𐓣𐓩) 𐓘𐓡𐓣́	, stop in) ahí
come here: cause to ~	𐓡𐓶́𐓵𐓟	húðe
come here (motion accomplished)	𐓘𐓴𐓣́	achí
come here (motion underway)	𐓘𐓡𐓶́	ahú
come here with	𐓘𐓤𐓶́	akú
come home (motion underway)	𐓘𐓤𐓶́	akú
come into possesion of	𐓪𐓤š𐓟𐓱𐓘͘	okšehtą
come there (motion accomplished)	𐓘𐓡𐓣́	ahí
come to (after being unconscious)come to one's senses	𐓥𐓣𐓧𐓘́𐓺𐓪, 𐓣̄𐓥𐓣́𐓵𐓟	hkilázo, iihkíðe
comfort	𐓤𐓣𐓹𐓶́𐓥𐓟	kiɣúhke
comfortable	𐓥𐓣𐓤'𐓘͘𐓺𐓟	hkikˀąze
comfortable: make oneself ~	𐓥𐓣𐓤'𐓘́͘𐓺𐓟	hkikˀą́ze
comforting	š𐓰𐓘́𐓤𐓟	štáke
comical	𐓷𐓘𐓡𐓪́𐓡𐓪𐓰𐓘, 𐓷𐓘𐓡𐓪́𐓰𐓘	wahóhota, wahóta
comical person	𐓷𐓘𐓡𐓪́𐓡𐓪𐓰𐓘	wahóhota
command someone to do something	𐓘́𐓤𐓘̄𐓻𐓣, 𐓤𐓘̄𐓻𐓣́	ákaaži, kaaží
commit suicide	𐓲'𐓟́𐓥𐓣𐓵𐓟	cˀéhkiðe
committeeman	𐓰𐓪𐓰𐓘́͘𐓡𐓘	totą́ha
compete with one another	𐓘́𐓥𐓣𐓥𐓣𐓟	áhkihkie
complementizer	𐓴𐓟	che
complete	𐓜𐓪́𐓤𐓘	bróka
completive markers (see noncontinuative markers)		
compress	𐓤𐓘̄𐓮𐓤𐓣́	kaaskí
conceal, conceal oneself	𐓩𐓘͘𐓧𐓪̋͘𐓡𐓘, 𐓬𐓶̋𐓮𐓬𐓟	nąlǫ́ǫha, púuspe
conceited: be ~	𐓪́𐓻𐓪 𐓘́𐓥𐓣𐓻𐓣͘	óžo áhkižį
concenr: feel ~ over, be ~ed about	𐓪́𐓵𐓘̄͘𐓲𐓟š𐓣	óðąąceši
conduct one's own or someone else's affairs	𐓪𐓵𐓪́𐓷𐓘𐓵𐓟	oðówaðe
conduct oneself	𐓘𐓥𐓣́𐓧𐓘𐓵𐓣͘	ahkílaðį
conference held by a group of people	𐓥𐓣̄𐓮𐓰𐓪́	hkiistó
confused: be ~	𐓘́𐓻𐓘͘𐓣͘ 𐓵𐓶̄𐓲'𐓘́𐓤𐓟	ážąį ðuucˀáke
confused, confused person	𐓬𐓸𐓘́𐓵𐓘𐓻𐓣	pxáðaži
congested	𐓪𐓲'𐓣́͘𐓺𐓟	ocˀį́ze
congressional representative	𐓥𐓣̄𐓮𐓰𐓪́ 𐓪𐓨𐓘͘𐓵𐓣͘	hkiistó omąðį
congressman, congresswoman	𐓷𐓘𐓥𐓣́𐓧𐓘̄𐓲𐓟 𐓤𐓘̋𐓹𐓟	wahkílaace káaɣe
conquer	𐓪𐓡𐓣́	ohí
consciousness: regain ~	𐓣̄𐓥𐓣́𐓵𐓟	iihkíðe
consecrated	𐓸𐓪́𐓬𐓟	xópe
consecutively	𐓪𐓥𐓣́𐓟𐓰𐓸𐓘͘𐓰𐓸𐓘͘	ohkíetxątxą
consider	𐓘́𐓷𐓘𐓵𐓣𐓧𐓘͘, 𐓟́𐓵𐓟, 𐓟́𐓤𐓣𐓵𐓟, 𐓣́𐓵𐓣𐓧𐓘͘, 𐓷𐓘𐓵𐓣́𐓧𐓘͘	áwaðilą, éðe, ékiðe, íðilą, waðílą
consider precious	𐓪́𐓸𐓰𐓘 𐓤𐓘̋𐓹𐓟	óxta káaɣe
consider something	𐓰𐓘̋𐓰𐓘͘ 𐓣́𐓵𐓣𐓧𐓘͘	táatą íðilą
consommé	𐓱𐓘̄𐓩𐓣̋	htaaníi
constantly	š𐓰𐓘͘	štą
consume	𐓵𐓘̄𐓩𐓣̋͘	ðaanį́į
consumption (tuberculosis)	𐓨𐓘̋͘𐓤𐓟 𐓩𐓣́, 𐓨𐓘̋͘𐓤𐓟 𐓬𐓶́𐓺𐓟	mą́ąke ní, mą́ąke púze
contact: bring components into ~(e.g., parts of a blanket)	𐓵𐓣̄𐓮𐓤𐓣́𐓤𐓟	ðiiskíke
container	𐓪̄𐓻𐓶́, 𐓪̋𐓻𐓶	oožú, óožu
contaminate (e.g., water on air)	𐓣́𐓺𐓣𐓺𐓣𐓤𐓟 𐓤𐓘̋𐓹𐓟	ízizike káaɣe
contempt: hold someone in ~	𐓭𐓣̋𐓻𐓣 𐓘𐓻𐓣́͘	hpíiži ažį́
contemptible	𐓣̄𐓮𐓟́𐓷𐓘𐓵𐓟	iiséwaðe
contend with one another	𐓘́𐓥𐓣𐓥𐓣𐓟	áhkihkie
content (happy)	š𐓤𐓘š𐓤𐓘́𐓵𐓘	škaškáða
contest (verb)	𐓘́𐓥𐓣𐓥𐓣𐓟	áhkihkie
continally	𐓡𐓘̋𐓴𐓣, 𐓩𐓘͘, 𐓩𐓘͘𐓩𐓘͘ š𐓪͘, š𐓰𐓘͘	háachi, ną, nąną šǫ, štą
continuative aspect markers	𐓘𐓤𐓸𐓘, 𐓘𐓬𐓘, 𐓘͘𐓵𐓟́, 𐓘͘𐓵𐓣͘𐓡𐓟́, 𐓘͘𐓵𐓣͘𐓤š𐓟́, 𐓘͘𐓡𐓟́, 𐓘͘𐓤𐓘́𐓵𐓟, 𐓘͘𐓤𐓘𐓰𐓸𐓘́͘, 𐓘͘𐓰𐓸𐓘́͘, 𐓘͘𐓰𐓸𐓘͘𐓡𐓟́, 𐓵𐓚š𐓟́, 𐓵𐓘𐓰𐓸𐓘́͘š𐓟, 𐓣͘𐓤š𐓟́, 𐓤š𐓟, 𐓨𐓣͘𐓤š𐓟́, 𐓩𐓘͘𐓤𐓸𐓘́š𐓟, 𐓩𐓣͘𐓤š𐓟́, 𐓬𐓘̄š𐓟́, 𐓬𐓘𐓣, 𐓰𐓸𐓘͘, 𐓻𐓘́͘𐓤š𐓟	akxa, apa, ąðé, ąðįhé, ąðįkšé, ąhé, ąkáðe, ąkatxą́, ątxą́, ątxąhé, ðaįšé, ðatxą́še, įkšé, kše, mįkšé, nąkxáše, nįkšé, paašé, pai, txą, žą́kše
continue	š𐓤𐓘́͘	šką́
continue, continue to	š𐓣𐓩𐓘͘, š𐓪͘	šiną, šǫ
continuously	š𐓰𐓘͘	štą
contrarily	𐓪́𐓵𐓘͘𐓻𐓣	óðąži
contrary: go or be ~ to	𐓘́𐓵𐓣𐓱𐓘	áðihta
converse, converse with	𐓪𐓥𐓣́𐓟	ohkíe
converse with each other	𐓪𐓥𐓣́𐓥𐓣𐓟	ohkíhkie
convince	𐓪𐓻𐓣́𐓻𐓣𐓟	ožížie
cook (noun, verb)	𐓪̄𐓡𐓪́͘	oohǫ́
cook, cook outside (refers only to cooking meat on a rack, as for barbecue)	𐓪́𐓥𐓘𐓲𐓟	óhkace
cook for oneself	𐓪̋𐓥𐓣𐓡𐓘͘	óohkihą
cook things, cook stuff	𐓪̋𐓡𐓪͘	óohǫ
cook together	𐓪𐓵𐓪́𐓥𐓣𐓡𐓘͘	oðóhkihą
cooked	𐓲𐓶̋𐓲𐓟	cúuce
cookhouse	𐓪̄𐓡𐓪́͘𐓳𐓣	oohǫ́hci
cookie	𐓷𐓘𐓮𐓤𐓶́𐓟𐓻𐓣͘	waskúežį
cooking: add in ~	𐓪𐓵𐓪́𐓥𐓣𐓡𐓘͘	oðóhkihą
cooking pot	𐓪̋𐓡𐓪͘	óohǫ
cooking utensils	𐓷𐓟́𐓪̄𐓡𐓪͘, 𐓷𐓣𐓪̋𐓡𐓪͘	wéoohǫ, wióohǫ
cookstove	𐓨𐓘́͘𐓺𐓟𐓷𐓟́𐓪̄𐓡𐓪͘	mą́zewéoohǫ
cool (as weather), cool to the touch	𐓩𐓣́𐓩𐓣	níni
coon (raccoon)	𐓨𐓣́͘𐓥𐓘̄	mį́hkaa
copperhead	𐓘𐓣́͘𐓬𐓘𐓸𐓪	aį́paxo
copulate	𐓷𐓘𐓴𐓶́	wachú
copulate with	𐓘𐓵𐓣́͘𐓘𐓻𐓘͘, 𐓴𐓶́𐓟	aðį́ažą, chúe
cord	𐓷𐓟́𐓵𐓣͘	wéðį
cork, fishing cork	𐓷𐓣́𐓪𐓵𐓘̄𐓮𐓬𐓟	wíoðaaspe
corn	𐓡𐓘́𐓬𐓘	hápa
corn: cracked ~	𐓡𐓘́𐓬𐓘 𐓷𐓘𐓧𐓟́𐓤𐓟	hápa waléke
corn: cut ~ (fresh corn cut off the cob)	𐓬𐓘̄š𐓬𐓶́	paašpú
corn: dried ~	𐓪̋𐓡𐓪͘ 𐓮𐓘̄𐓤𐓣́, 𐓷𐓘𐓰𐓸𐓘́𐓺𐓶	óohǫ saakí, watxázu
corn: fresh ~	𐓡𐓘́𐓬𐓘, 𐓡𐓘́𐓬𐓘 𐓷𐓘𐓲'𐓟́𐓤𐓘	hápa, hápa wacˀéka
corn: fresh ~ cut off the cob	𐓬𐓘̄š𐓬𐓶́	paašpú
corn: grated fresh ~ baked in oven	𐓷𐓘𐓲𐓶́𐓟 𐓻𐓟̋𐓧𐓘	wacúe žéela
corn: ripe ~ (just at the point of ripeness)	𐓡𐓘́𐓬𐓘 𐓷𐓘𐓮𐓶́𐓰𐓘	hápa wasúta
corn: squaw ~ (white term)	𐓡𐓘́𐓬𐓘 𐓷𐓘𐓲'𐓟́𐓤𐓘	hápa wacˀéka
corn husk	𐓷𐓘𐓲𐓶́𐓟𐓸𐓘͘	wacúexą
cornbread	𐓡𐓘́𐓬𐓘 𐓷𐓘𐓲𐓶́𐓟, 𐓷𐓘𐓲𐓶́𐓟 𐓻𐓟̋𐓧𐓘, 𐓷𐓘𐓲𐓶́𐓟š𐓰𐓪͘	hápa wacúe, wacúe žéela, wacúeštǫ
corner	𐓬𐓘̄𐓹𐓪́	paaɣó
cornmeal dumplings	𐓷𐓘𐓲𐓶́𐓟 𐓤𐓘̄𐓮𐓤𐓣́	wacúe kaaskí
cornshuck	𐓷𐓘𐓲𐓶́𐓟𐓸𐓘͘	wacúexą
correct, correctly	𐓟́𐓤𐓪͘	ékǫ
correctly: say something ~	𐓟́𐓤𐓪͘ 𐓵𐓘̄𐓲𐓟́	ékǫ ðaacé
cosmetics	𐓤𐓣𐓤'𐓪́͘	kikˀǫ́
costume	𐓷𐓟́𐓥𐓣𐓧𐓣͘	wéhkilį
cot: small ~	𐓘́𐓻𐓘͘𐓻𐓣͘	ážąžį
cottonwood	𐓬𐓘̋𐓤'𐓘, 𐓻𐓘̋͘ 𐓤'𐓘	páakˀa, žą́ą kˀa
couch	𐓘́𐓧𐓣̄͘𐓮𐓲𐓟̄, 𐓘́𐓻𐓘͘, 𐓪́𐓻𐓘͘	álįįscee, ážą, óžą
cough (N and V)	𐓡𐓪́𐓸𐓬𐓟	hóxpe
cough: have or be suffering from a ~	𐓡𐓪́𐓸𐓬𐓟 𐓪̋͘	hóxpe ǫ́ǫ
could	𐓵𐓘̄͘𐓴𐓟́	ðąąché
council	𐓪𐓥𐓣́𐓭𐓘 𐓴𐓟	ohkíhpa che
council house	𐓥𐓣̄𐓮𐓰𐓪́𐓳𐓣, 𐓤𐓣̄𐓮𐓰𐓪𐓳𐓣́	hkiistóhci, kiistohcí
council meeting	𐓥𐓣̄𐓮𐓰𐓪́	hkiistó
council member	𐓥𐓣̄𐓮𐓰𐓪́ 𐓪𐓨𐓘͘𐓵𐓣͘	hkiistó omąðį
council session: tribal ~	𐓥𐓣̄𐓮𐓰𐓪́	hkiistó
count (verb)	𐓵𐓘̄𐓷𐓘́, 𐓷𐓘𐓵𐓘̋𐓷𐓘	ðaawá, waðáawa
count on	𐓣́𐓤𐓣𐓩𐓘̄𐓻𐓣	íkinaaži
count oneself	𐓥𐓣𐓧𐓘̋𐓷𐓘	hkiláawa
count out	𐓵𐓘̄𐓷𐓘́	ðaawá
counting	𐓷𐓘𐓵𐓘̋𐓷𐓘	waðáawa
country (land)	𐓨𐓘́͘𐓻𐓘͘	mą́žą
country (nation?)	𐓩𐓣́𐓥𐓘š𐓣𐓤𐓘 𐓪𐓴𐓣́	níhkašika ochí
country (rural area)	𐓺𐓘̋͘, 𐓺𐓘̋͘𐓲𐓟	zą́ą, zą́ące
countryside	𐓨𐓘́𐓻𐓘͘, 𐓨𐓘͘𐓻𐓘́͘𐓱𐓘͘, 𐓺𐓘̋͘, 𐓺𐓘̋͘𐓲𐓟	mážą, mąžą́htą, zą́ą, zą́ące
couple, pair, two of them	𐓩𐓘𐓥𐓪͘𐓣́͘	nahkǫį́
courageous	𐓷𐓘š𐓪́š𐓟	wašóše
court (woo)	𐓵𐓣́𐓧𐓘͘	ðílą
courthouse	𐓥𐓣̄𐓮𐓰𐓪́𐓳𐓣	hkiistóhci
courtship: be in a ~ with	𐓻𐓪́𐓧𐓟	žóle
cousin: male ~ (specifically, father's sister's son)		
" my/your/his/her father's sister's son"	𐓳𐓣𐓪́š𐓤𐓘	hcióška
"my father's sister's son"	𐓷𐓣𐓳𐓪́š𐓤𐓘	wihcóška
"his/her father's sister's son"	𐓣𐓳𐓪́š𐓤𐓘	ihcóška
cousin: female ~(specifically, father's sister's daughter)		
"my father's sister's daughter"	𐓷𐓣𐓳𐓣́𐓻𐓪	wihcížo
"your father's sister's daughter"	𐓵𐓣𐓳𐓣́𐓻𐓪	ðihcížo
"his father's sister's daughter"	𐓣𐓳𐓣́𐓻𐓪	ihcížo
cover: pull or tug something over in order to ~	𐓘́𐓵𐓶𐓺𐓶	áðuzu
cover (for a tipi, sweat lodge, pillow, etc.)	𐓪𐓵𐓣́š𐓣	oðíši
cover oneself up	𐓘́𐓥𐓣𐓥𐓘̄𐓮𐓬𐓟	áhkihkaaspe
cover over, cover up	𐓘́𐓤𐓘̄𐓮𐓬𐓟	ákaaspe
cover over by spreading some material upon	𐓘́𐓤𐓘̄𐓹𐓘𐓲𐓟	ákaaɣace
cover with earth	𐓘́𐓵𐓣𐓤'𐓪	áðikˀo
covered with: be ~(as a garment)	𐓣́͘	į́
covering (e.g., a windowshade)	𐓘𐓤𐓘̋𐓮𐓬𐓟	akáaspe
covering wrapped around something	𐓘́𐓬𐓟𐓰𐓸𐓘	ápetxa
covert, covertly	𐓩𐓘͘𐓧𐓪́͘𐓪͘𐓡𐓘	nąlǫ́ǫha
cow	𐓳𐓟̋𐓮𐓤𐓘, 𐓳𐓟̄𐓮𐓤𐓘́ 𐓨𐓣́͘𐓣͘𐓤𐓘	hcéeska, hceeská mį́įka
coyote	š𐓪́͘𐓨𐓣͘𐓥𐓘𐓮𐓟	šǫ́mįhkase
crack (intransitive)	𐓤𐓘̄𐓧𐓟́𐓤𐓟	kaaléke
crack from sudden impact	𐓤𐓘̄𐓸𐓶́𐓹𐓟	kaaxúɣe
crackers.	𐓷𐓘𐓲𐓶́𐓟 𐓸𐓶́𐓹𐓘	wacúe xúɣa
cradle of any type, cradleboard.	𐓪𐓵𐓪́𐓬š𐓟	oðópše
crafts: small ~.	𐓡𐓣̄͘𐓲𐓟́𐓻𐓣͘	hįįcéžį
cranky.	𐓪́𐓤'𐓘͘ 𐓭𐓣̋𐓻𐓣, 𐓷𐓘𐓵𐓣́𐓧𐓘͘ 𐓘́š𐓤𐓘	ókˀą hpíiži, waðílą áška
cranky: feel ~.	𐓥𐓣́𐓻𐓣͘	hkížį
crash (verb).	𐓤𐓘̄𐓬𐓸𐓪́𐓥𐓟	kaapxóhke
crave.	𐓤𐓪́͘𐓵𐓘	kǫ́ða
crawl on, crawl upon.	𐓘́𐓨𐓣͘𐓲𐓟	ámįce
crazed with medicine.	𐓨𐓘́͘𐓥𐓘𐓻𐓪́𐓣𐓤𐓘	mą́hkažóika
crazy.	𐓲'𐓟́𐓤𐓘	cˀéka
crazy, crazily.	𐓟𐓤𐓪́͘𐓣͘𐓤𐓟	ekǫ́įke
crazy person.	𐓷𐓘𐓵𐓣́𐓧𐓘͘ 𐓟̄𐓤𐓪́͘ 𐓣͘𐓤𐓟́	waðílą eekǫ́ įké
